ds,url,dispute
139,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/142R.pdf&Open=True,Canada – Autos
141,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/141R-00.pdf&Open=True,EC – Bed Linen
146,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/175R.pdf&Open=True,India – Autos
152,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/152R.pdf&Open=True,US – Section 301 Trade Act
155,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/155R.pdf&Open=True,Argentina – Hides and Leather
156,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/156R.pdf&Open=True,Guatemala – Cement II
160,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/160R-00.pdf&Open=True,US – Section 110(5) Copyright Act
161,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/161R.pdf&Open=True,Korea – Various Measures on Beef
162,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/162R-01.pdf&Open=True,US – 1916 Act (Japan)
163,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/163R.pdf&Open=True,Korea – Procurement
165,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/165R.pdf&Open=True,US – Certain EC Products
166,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/166R.pdf&Open=True,US – Wheat Gluten
170,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/170R-00.pdf&Open=True,Canada – Patent Term
174,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/174R.pdf&Open=True,EC – Trademarks and Geographical Indications
176,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/176R.pdf&Open=True,US – Section 211 Appropriations Act
177,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/178R-00.pdf&Open=True,US – Lamb
179,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/179R-00.pdf&Open=True,US – Stainless Steel
184,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/184R-00.pdf&Open=True,US – Hot-Rolled Steel
189,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/189R.pdf&Open=True,Argentina – Ceramic Tiles
192,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/192R.pdf&Open=True,US – Cotton Yarn
194,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/194R-00.pdf&Open=True,US – Export Restraints
202,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/202R-00.pdf&Open=True,US – Line Pipe
204,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/204R.pdf&Open=True,Mexico – Telecoms
206,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/206R-00.pdf&Open=True,US – Steel Plate
207,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/207R.pdf&Open=True,Chile – Price Band System
211,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/211R-00.pdf&Open=True,Egypt – Steel Rebar
212,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/212R.pdf&Open=True,US –  Countervailing Measures on Certain EC Products
213,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/213R.pdf&Open=True,US – Carbon Steel
217,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/234R-00.pdf&Open=True,US – Offset Act (Byrd Amendment)
219,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/219R-00.pdf&Open=True,EC – Tube and Pipe Fittings
221,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/221R.pdf&Open=True,US – Section 129(c)(1) URAA
222,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/222R-00.pdf&Open=True,Canada – Aircraft Credits and Guarantees
231,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/231R.pdf&Open=True,EC – Sardines
236,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/236R-00.pdf&Open=True,US – Softwood Lumber III
238,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/238R.pdf&Open=True,Argentina – Preserved Peaches
241,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/241R-00.pdf&Open=True,Argentina – Poultry Anti-Dumping Duties
